Year,Municipio,GeoCode,Value
2020,Córdoba,14021.0,28.06
2020,Doña Mencía,14022.0,22.42
2020,Dos Torres,14023.0,22.52
2020,Encinas Reales,14024.0,25.01
2020,Espejo,14025.0,19.65
2020,Espiel,14026.0,27.01
2020,Fernán-Núñez,14027.0,23.16
2020,Fuente la Lancha,14028.0,38.5
2020,Fuente Obejuna,14029.0,36.42
2020,Fuente Palmera,14030.0,20.6
2020,Fuente-Tójar,14031.0,22.06
2020,"Granjuela, La",14032.0,38.71
2020,Guadalcázar,14033.0,24.7
2020,"Guijo, El",14034.0,21.19
2020,Hinojosa del Duque,14035.0,30.9
2020,Hornachuelos,14036.0,22.79
2020,Iznájar,14037.0,18.71
2020,Lucena,14038.0,26.6
2020,Luque,14039.0,23.39
2020,Montalbán de Córdoba,14040.0,13.65
2020,Montemayor,14041.0,21.91
2020,Montilla,14042.0,22.57
2020,Montoro,14043.0,24.2
2020,Monturque,14044.0,21.21
2020,Moriles,14045.0,23.21
2020,Nueva Carteya,14046.0,20.36
2020,Obejo,14047.0,29.44
2020,Palenciana,14048.0,21.63
2020,Palma del Río,14049.0,24.49
2020,Pedro Abad,14050.0,26.39
2020,Pedroche,14051.0,25.95
2020,Peñarroya-Pueblonuevo,14052.0,40.82
2020,Posadas,14053.0,24.08
2020,Pozoblanco,14054.0,21.6
2020,Priego de Córdoba,14055.0,23.87
2020,Puente Genil,14056.0,27.93
2020,"Rambla, La",14057.0,16.76
2020,Rute,14058.0,19.22
2020,San Sebastián de los Ballesteros,14059.0,21.66
2020,Santaella,14060.0,19.59
2020,Santa Eufemia,14061.0,26.92
2020,Torrecampo,14062.0,21.94
2020,Valenzuela,14063.0,19.16
2020,Valsequillo,14064.0,28.04
2020,"Victoria, La",14065.0,24.0
2020,Villa del Río,14066.0,25.49
2020,Villafranca de Córdoba,14067.0,24.67
2020,Villaharta,14068.0,33.73
2020,Villanueva de Córdoba,14069.0,21.77
2020,Villanueva del Duque,14070.0,24.37
2020,Villanueva del Rey,14071.0,31.37
2020,Villaralto,14072.0,23.51
2020,Villaviciosa de Córdoba,14073.0,28.21
2020,"Viso, El",14074.0,25.39
2020,Zuheros,14075.0,24.38
2020,Fuente Carreteros,14901.0,
2020,"Guijarrosa, La",14902.0,
2020,Agrón,18001.0,32.97
2020,Alamedilla,18002.0,26.63
2020,Albolote,18003.0,23.5
2020,Albondón,18004.0,22.84
2020,Albuñán,18005.0,21.35
2020,Albuñol,18006.0,16.97
2020,Albuñuelas,18007.0,27.15
2020,Aldeire,18010.0,26.99
2020,Alfacar,18011.0,24.7
2020,Algarinejo,18012.0,24.28
2020,Alhama de Granada,18013.0,17.0
2020,Alhendín,18014.0,24.65
2020,Alicún de Ortega,18015.0,24.91
2020,Almegíjar,18016.0,22.05
2020,Almuñécar,18017.0,29.32
2020,Alquife,18018.0,22.65
2020,Arenas del Rey,18020.0,25.92
2020,Armilla,18021.0,26.82
2020,Atarfe,18022.0,27.37
2020,Baza,18023.0,21.81
2020,Beas de Granada,18024.0,19.52
2020,Beas de Guadix,18025.0,30.98
2020,Benalúa,18027.0,34.58
2020,Benalúa de las Villas,18028.0,17.21
2020,Benamaurel,18029.0,23.77
2020,Bérchules,18030.0,20.17
2020,Bubión,18032.0,28.88
2020,Busquístar,18033.0,31.55
2020,Cacín,18034.0,21.84
2020,Cádiar,18035.0,25.11
2020,Cájar,18036.0,21.64
2020,Calicasas,18037.0,23.26
2020,Campotéjar,18038.0,19.47
2020,Caniles,18039.0,21.66
2020,Cáñar,18040.0,33.67
2020,Capileira,18042.0,22.2
2020,Carataunas,18043.0,33.89
2020,Cástaras,18044.0,14.95
2020,Castilléjar,18045.0,25.74
2020,Castril,18046.0,22.97
2020,Cenes de la Vega,18047.0,26.24
2020,Cijuela,18048.0,25.36
2020,Cogollos de Guadix,18049.0,27.3
2020,Cogollos de la Vega,18050.0,26.26
2020,Colomera,18051.0,23.63
2020,Cortes de Baza,18053.0,27.6
2020,Cortes y Graena,18054.0,25.84
2020,Cúllar,18056.0,21.17
2020,Cúllar Vega,18057.0,24.61
2020,Chauchina,18059.0,24.54
2020,Chimeneas,18061.0,25.46
2020,Churriana de la Vega,18062.0,25.56
2020,Darro,18063.0,32.5
2020,Dehesas de Guadix,18064.0,20.12
2020,Dehesas Viejas,18065.0,21.23
2020,Deifontes,18066.0,28.26
2020,Diezma,18067.0,26.25
2020,Dílar,18068.0,23.07
2020,Dólar,18069.0,18.32
2020,Dúdar,18070.0,17.7
2020,Dúrcal,18071.0,29.73
2020,Escúzar,18072.0,25.62
2020,Ferreira,18074.0,16.23
2020,Fonelas,18076.0,28.51
2020,Fornes,18077.0,
2020,Freila,18078.0,23.13
2020,Fuente Vaqueros,18079.0,32.77
2020,Galera,18082.0,27.22
2020,Gobernador,18083.0,18.95
2020,Gójar,18084.0,23.19
2020,Gor,18085.0,22.81
2020,Gorafe,18086.0,36.43
2020,Granada,18087.0,28.4
2020,Guadahortuna,18088.0,33.26
2020,Guadix,18089.0,24.99
2020,Gualchos,18093.0,14.67
2020,Güéjar Sierra,18094.0,23.1
2020,Güevéjar,18095.0,29.01
2020,Huélago,18096.0,29.15
2020,Huéneja,18097.0,19.23
2020,Huéscar,18098.0,23.03
2020,Huétor de Santillán,18099.0,25.17
2020,Huétor Tájar,18100.0,20.37
2020,Huétor Vega,18101.0,22.04
2020,Íllora,18102.0,24.24
2020,Ítrabo,18103.0,23.16
2020,Iznalloz,18105.0,30.57
2020,Játar,18106.0,12.34
2020,Jayena,18107.0,28.8
2020,Jérez del Marquesado,18108.0,31.59
2020,Jete,18109.0,19.64
2020,Jun,18111.0,21.87
2020,Juviles,18112.0,23.91
2020,"Calahorra, La",18114.0,27.77
2020,Láchar,18115.0,27.12
2020,Lanjarón,18116.0,31.2
2020,Lanteira,18117.0,24.98
2020,Lecrín,18119.0,22.84
2020,Lentegí,18120.0,24.54
2020,Lobras,18121.0,15.97
2020,Loja,18122.0,23.57
2020,Lugros,18123.0,18.32
2020,Lújar,18124.0,11.95
2020,"Malahá, La",18126.0,26.83
2020,Maracena,18127.0,25.5
2020,Marchal,18128.0,29.86
2020,Moclín,18132.0,23.8
2020,Molvízar,18133.0,26.89
2020,Monachil,18134.0,26.26
2020,Montefrío,18135.0,19.5
2020,Montejícar,18136.0,20.95
2020,Montillana,18137.0,18.7
2020,Moraleda de Zafayona,18138.0,20.57
2020,Motril,18140.0,24.5
2020,Murtas,18141.0,24.21
2020,Nigüelas,18143.0,23.51
2020,Nívar,18144.0,21.32
2020,Ogíjares,18145.0,22.34
2020,Orce,18146.0,22.33
2020,Órgiva,18147.0,32.72
2020,Otívar,18148.0,19.76
2020,Villa de Otura,18149.0,24.0
2020,Padul,18150.0,27.71
2020,Pampaneira,18151.0,25.15
2020,Pedro Martínez,18152.0,29.82
2020,Peligros,18153.0,24.91
2020,"Peza, La",18154.0,27.3
2020,Pinos Genil,18157.0,18.65
2020,Pinos Puente,18158.0,36.41
2020,Píñar,18159.0,23.54
2020,Polícar,18161.0,18.05
2020,Polopos,18162.0,15.05
2020,Pórtugos,18163.0,21.6
2020,Puebla de Don Fadrique,18164.0,20.74
2020,Pulianas,18165.0,28.25
2020,Purullena,18167.0,29.52
2020,Quéntar,18168.0,30.08
2020,Rubite,18170.0,22.36
2020,Salar,18171.0,24.52
2020,Salobreña,18173.0,28.53
2020,Santa Cruz del Comercio,18174.0,17.63
2020,Santa Fe,18175.0,32.31
2020,Soportújar,18176.0,18.22
2020,Sorvilán,18177.0,21.96
2020,Torre-Cardela,18178.0,24.74
2020,Torvizcón,18179.0,27.45
2020,Trevélez,18180.0,20.36
2020,Turón,18181.0,15.17
2020,Ugíjar,18182.0,28.43
2020,Válor,18183.0,26.94
2020,Vélez de Benaudalla,18184.0,23.8
2020,Ventas de Huelma,18185.0,24.68
2020,Villanueva de las Torres,18187.0,35.16
2020,Villanueva Mesía,18188.0,18.72
2020,Víznar,18189.0,20.61
2020,Zafarraya,18192.0,15.56
2020,"Zubia, La",18193.0,24.31
2020,Zújar,18194.0,22.78
2020,"Taha, La",18901.0,31.3
2020,"Valle, El",18902.0,25.45
2020,Nevada,18903.0,30.53
2020,Alpujarra de la Sierra,18904.0,20.68
2020,"Gabias, Las",18905.0,26.73
2020,"Guájares, Los",18906.0,23.38
2020,Valle del Zalabí,18907.0,19.68
2020,Villamena,18908.0,26.27
2020,Morelábor,18909.0,23.12
2020,"Pinar, El",18910.0,30.72
2020,Vegas del Genil,18911.0,23.6
2020,Cuevas del Campo,18912.0,23.5
2020,Zagra,18913.0,20.57
2020,Valderrubio,18914.0,23.24
2020,Domingo Pérez de Granada,18915.0,26.26
2020,Torrenueva Costa,18916.0,
2020,Alájar,21001.0,34.04
2020,Aljaraque,21002.0,20.28
2020,"Almendro, El",21003.0,23.52
2020,Almonaster la Real,21004.0,22.04
2020,Almonte,21005.0,25.07
2020,Alosno,21006.0,28.62
2020,Aracena,21007.0,24.93
2020,Aroche,21008.0,24.57
2020,Arroyomolinos de León,21009.0,34.01
2020,Ayamonte,21010.0,26.13
2020,Beas,21011.0,23.42
2020,Berrocal,21012.0,17.27
2020,Bollullos Par del Condado,21013.0,23.13
2020,Bonares,21014.0,14.07
2020,Cabezas Rubias,21015.0,27.67
2020,Cala,21016.0,35.36
2020,Calañas,21017.0,26.5
2020,"Campillo, El",21018.0,28.28
2020,Campofrío,21019.0,25.85
2020,Cañaveral de León,21020.0,31.85
2020,Cartaya,21021.0,16.98
2020,Castaño del Robledo,21022.0,37.7
2020,"Cerro de Andévalo, El",21023.0,25.09
2020,Corteconcepción,21024.0,29.8
2020,Cortegana,21025.0,27.58
2020,Cortelazor,21026.0,33.94
2020,Cumbres de Enmedio,21027.0,38.89
2020,Cumbres de San Bartolomé,21028.0,27.72
2020,Cumbres Mayores,21029.0,29.8
2020,Chucena,21030.0,24.48
2020,Encinasola,21031.0,27.52
2020,Escacena del Campo,21032.0,21.19
2020,Fuenteheridos,21033.0,32.71
2020,Galaroza,21034.0,29.05
2020,Gibraleón,21035.0,23.1
2020,"Granada de Río-Tinto, La",21036.0,29.62
2020,"Granado, El",21037.0,23.3
2020,Higuera de la Sierra,21038.0,29.7
2020,Hinojales,21039.0,29.67
2020,Hinojos,21040.0,17.48
2020,Huelva,21041.0,28.94
2020,Isla Cristina,21042.0,31.3
2020,Jabugo,21043.0,31.52
2020,Lepe,21044.0,20.98
2020,Linares de la Sierra,21045.0,28.73
2020,Lucena del Puerto,21046.0,7.5
2020,Manzanilla,21047.0,26.41
2020,"Marines, Los",21048.0,33.51
2020,Minas de Riotinto,21049.0,25.81
2020,Moguer,21050.0,14.75
2020,"Nava, La",21051.0,38.34
2020,Nerva,21052.0,29.22
2020,Niebla,21053.0,26.3
2020,"Palma del Condado, La",21054.0,23.81
2020,Palos de la Frontera,21055.0,18.15
2020,Paterna del Campo,21056.0,23.53
2020,Paymogo,21057.0,28.2
2020,Puebla de Guzmán,21058.0,26.33
2020,Puerto Moral,21059.0,26.36
2020,Punta Umbría,21060.0,28.71
2020,Rociana del Condado,21061.0,23.32
2020,Rosal de la Frontera,21062.0,26.06
2020,San Bartolomé de la Torre,21063.0,17.92
2020,San Juan del Puerto,21064.0,22.74
2020,Sanlúcar de Guadiana,21065.0,24.86
2020,San Silvestre de Guzmán,21066.0,20.76
2020,Santa Ana la Real,21067.0,28.23
2020,Santa Bárbara de Casa,21068.0,25.93
2020,Santa Olalla del Cala,21069.0,28.87
2020,Trigueros,21070.0,25.01
2020,Valdelarco,21071.0,25.97
2020,Valverde del Camino,21072.0,24.22
2020,Villablanca,21073.0,16.93
2020,Villalba del Alcor,21074.0,29.99
2020,Villanueva de las Cruces,21075.0,23.11
2020,Villanueva de los Castillejos,21076.0,19.0
2020,Villarrasa,21077.0,24.3
2020,Zalamea la Real,21078.0,27.28
2020,Zufre,21079.0,28.61
2020,"Zarza-Perrunal, La",21902.0,
2020,Albanchez de Mágina,23001.0,23.46
2020,Alcalá la Real,23002.0,17.19
2020,Alcaudete,23003.0,19.91
2020,Aldeaquemada,23004.0,22.32
2020,Andújar,23005.0,30.25
2020,Arjona,23006.0,20.54
2020,Arjonilla,23007.0,22.2
2020,Arquillos,23008.0,21.92
2020,Baeza,23009.0,20.88
2020,Bailén,23010.0,30.92
2020,Baños de la Encina,23011.0,27.03
2020,Beas de Segura,23012.0,21.7
2020,Begíjar,23014.0,24.56
2020,Bélmez de la Moraleda,23015.0,26.08
2020,Benatae,23016.0,15.07
2020,Cabra del Santo Cristo,23017.0,22.79
2020,Cambil,23018.0,23.99
2020,Campillo de Arenas,23019.0,18.82
2020,Canena,23020.0,16.9
2020,Carboneros,23021.0,22.74
2020,"Carolina, La",23024.0,35.85
2020,Castellar,23025.0,20.37
2020,Castillo de Locubín,23026.0,16.27
2020,Cazalilla,23027.0,24.84
2020,Cazorla,23028.0,22.28
2020,Chiclana de Segura,23029.0,14.56
2020,Chilluévar,23030.0,22.71
2020,Escañuela,23031.0,22.45
2020,Espeluy,23032.0,27.53
2020,Frailes,23033.0,16.27
2020,Fuensanta de Martos,23034.0,20.17
2020,Fuerte del Rey,23035.0,18.76
2020,Génave,23037.0,20.77
2020,"Guardia de Jaén, La",23038.0,18.74
2020,Guarromán,23039.0,32.54
2020,Lahiguera,23040.0,22.22
2020,Higuera de Calatrava,23041.0,19.06
2020,Hinojares,23042.0,21.28
2020,Hornos,23043.0,22.06
